364,ゴーリキー マクシム
365,チリコフ オイゲン
366,アルチバシェッフ ミハイル・ペトローヴィチ
367,クスミン ミカイル・アレクセーヴィチ
351,増田 雅子
318,山川 登美子
319,山本 宣治
320,与謝野 寛
321,与謝野 礼厳
322,吉江 孤雁
323,吉野 作造
325,蘭 郁二郎
352,田中 早苗
326,ルヴェル モーリス
332,ワイルド オスカー
329,楠山 正雄
331,若杉 鳥子
335,ストールマン リチャード
336,ラティガン テレンス
235,上田 敏
338,フランス アナトール
339,ルター マルチン
342,柴田 流星
343,平田 禿木
344,土田 杏村
354,勝 海舟
355,上村 松園
369,川端 茅舎
370,横瀬 夜雨
371,細井 和喜蔵
725,萩原 恭次郎
372,桑原 隲蔵
373,北畠 尊也
864,板倉 勝宣
866,狩野 亨吉
868,池宮城 積宝
317,矢田 津世子
491,片岡 鉄兵
869,永崎 貢
870,山本 勝治
295,広津 柳浪
479,小山内 薫
765,逸見 猶吉
809,宮原 晃一郎
871,小野 浩
872,木内 高音
697,中戸川 吉二
287,野呂 栄太郎
873,金田 千鶴
874,尾形 亀之助
368,添田 唖蝉坊
565,斎藤 緑雨
388,淡島 寒月
246,金子 ふみ子
880,枯葉 
827,森本 薫
881,ブウテ フレデリック
882,プレヴォー マルセル
883,モルナール フェレンツ
884,ディモフ オシップ
887,ピランデルロ ルイジ
525,木下 尚江
259,小出 楢重
416,伊藤 野枝
575,佐藤 紅緑
412,市島 春城
535,桐生 悠々
891,加福 均三
981,巌谷 小波
900,橋本 五郎
660,塚原 渋柿園
934,塚原 蓼洲
601,十一谷 義三郎
398,池谷 信三郎
1066,ビアス アンブローズ
903,モーパッサン ギ・ド
904,田沢 稲舟
905,ホーソーン ナサニエル
907,アンドレーエフ レオニード・ニコラーエヴィチ
908,坂本 竜馬
912,スウィフト ジョナサン
913,sogo 
1551,条野 採菊
1086,ゴーチェ テオフィル
914,ディケンズ チャールズ
826,森田 草平
726,長谷川 時雨
915,プラトン 
933,折口 信夫
234,今井 邦子
939,野口 米次郎
938,観世 左近　二十四世
940,別所 梅之助
941,水野 葉舟
961,ダンテ アリギエリ
960,山川 丙三郎
